vocab,meaning,example,group
assets (n.),"สินทรัพย์
(ซึ่งมีค่าแลกเปลี่ยนเป็นเงินหรือใช้หนี้ได้)",By the end of 2020 the company had assets of 200 billion dollars.,Finance
bank note (n.),ธนบัตร,"And occasionally small finds, some coins; a banknote in a pocket.",Finance
bank draft (n.),ใบสั่งจ่ายเงินธนาคาร,"Payment by cheque or cashier’s cheque or bank draft dated within September 30, 2021.",Finance
bankrupt (adj.),ล้มละลาย,"Then he declares the company bankrupt before paying off the promissory note, canceling the debt.",Finance
bankruptcy (n.),การล้มละลาย,I have to summarize all those cases in bankruptcy over there.,Finance
beneficiary (n.),ผู้รับผลประโยชน์,The beneficiary will receive money on the same day or on the next working day.,Finance
benefit (n.),ผลประโยชน์,Mutual trading will be the biggest benefit of both nations.,Finance
bill (n.),ใบแจ้งหนี้,This is the bill from the hotel where we stayed.,Finance
cash (n.),เงินสด,The shop charges less if the customer pays in cash.,Finance
charge (n.),ค่าธรรมเนียม,There is a charge for the use of the swimming pool.,Finance
customs (n.),ภาษีศุลกากร,Any customs or import duties are charged once the parcel reaches its destination country.,Finance
currency (n.),เงินตรา,The bank can supply you with foreign currency.,Finance
debt (n.),"หนี้, หนี้สิน","She had debts of over £200,000.",Finance
debit (v.),หักบัญชี,"Please authorise us to debit your account and, where possible, give a day-time telephone number in case of query.",Finance
deflation (n.),การชะลอตัวทางเศรษฐกิจ,Obviously a process of balanced deflation would entail no alteration of the real wage rate.,Finance
demand (n.),ความต้องการ,It follows that their demand for bank deposits is also growing at twice the rate of growth of nominal income.,Finance
deposit (n.),เงินฝาก,I’d like to make a deposit into my savings account.,Finance
donation (n.),การบริจาค,"Any donation however small, will be gratefully received.",Finance
earn (v.),"ได้รับ, ได้กำไร, มีรายได้","He earns nearly £10,000 a year.",Finance
earnings (n.),"รายได้, ผลกำไร",The company’s earnings have dropped by 4% in the first quarter.,Finance
economic (adj.),เกี่ยวกับเศรษฐกิจ,Economic growth is slow.,Finance
economical (adj.),ประหยัด,"Tim’s a very economical person, . He always looks around for the best buys.",Finance
economics (n.),เศรษฐศาสตร์,She received a master’s degree in agricultural economics and a doctorate in economics and marketing from Chulalongkorn University.,Finance
economy (n.),"เศรษฐกิจ, การใช้เงินหรือทรัพยากรอย่างประหยัด",Not insuring your belongings is a false economy,Finance
famine (n.),"ภาวะข้าวยากหมากแพง, ความอดอยาก",Millions of people in Africa continue to die because of war and famine.,Finance
fee (n.),ค่าธรรมเนียม,You can use the gym and pool for a fee of £45 a month.,Finance
finance (n.),การเงิน,He was an expert in finance and advised people where to invest their money.,Finance
fund (n.),กองทุน,The government agreed to create a fund to help develop rural areas.,Finance
fundraising (n.),การระดมทุน,Now she has joined the Breakthrough fundraising drive to build a research centre in Thailand.,Finance
hardship (n.),"ความทุกข์ยาก, ความยากลำบาก",Many students are suffering severe financial hardship.,Finance
heritage (n.),มรดก,"Our aim is to make the performing arts, museums and our heritage accessible to all.",Finance
income (n.),รายได้,"Braund’s annual income is just over $50,000.",Finance
inflation (n.),"การขยายตัว, ภาวะเงินเฟ้อ",The inflation rate rose to 4.5% last month.,Finance
invest (v.),ลงทุน,I want to invest the money my aunt left me.,Finance
investment (n.),การลงทุน,We have the largest investment in microelectronics technology of any company in the world.,Finance
joint venture (n.),"การร่วมลงทุน, การลงทุนร่วมกัน","Under the joint venture the council will pay nothing, while profits will accrue to Biomass",Finance
loan (n.),"เงินกู้, การกู้ยืม",I had to take out a loan to buy my car.,Finance
loan (v.),ให้กู้,Can you loan me $5?,Finance
lucrative (adj.),ที่ให้กำไรงาม,Catering is a very lucrative business if you succeed in it.,Finance
landlord / landlady (n.),"เจ้าของที่ดิน, เจ้าของบ้านเช่า, เจ้าของอพาร์ตเมนต์",The newspaper is negotiating with its landlord to reduce its rent.,Finance
license (n.),ใบอนุญาต,The vaccine has been licensed by the US Food and Drug Administration.,Finance
monetary (adj.),"เกี่ยวกับเงิน, ทางการเงิน",There’s only one conclusion to make about this data on monetary growth.,Finance
mortgage (n.),การจำนอง,We decided to use Fred’s redundancy money to pay off the mortgage.,Finance
obligation (n.),ภาระผูกพัน,Greater resources are needed to meet these obligations.,Finance
owe (v.),ติดหนี้,"I owe a great deal to my publishers, who helped me to finish writing the book.",Finance
overdraft (n.),เงินเบิกเกินบัญชี,They had been given borrowing and overdraft facilities.,Finance
payment (n.),การชำระเงิน,An overdraft offered more flexibility but higher cost.,Finance
prosperous (adj.),"ร่ำรวย, เฟื่องฟู",Deng was the son of a prosperous landowner.,Finance
profit (n.),กำไร,The shop’s daily profit is usually around $400.,Finance
profitability (n.),การได้กำไร,They plan to increase profitability by making the factory more efficient.,Finance
profitable (adj.),ซึ่งได้ผลกำไร,"It is a profitable business but there is evidence of some slack time, perhaps this is a learning curve effect.",Finance
recession (n.),ภาวะเศรษฐกิจถดถอย,There is deep recession in the UK.,Finance
receipt (n.),ใบเสร็จรับเงิน,Keep your receipt in case you want to bring it back.,Finance
repayment (n.),การชำระคืน,They’re demanding repayment for the cost of the uniforms.,Finance
savings (n.),"เงินออม, เงินสะสม","Under his original proposal, much of the savings would have gone to the wealthy.",Finance
taxation (n.),ภาษีอากร,No order for costs save legal aid taxation.,Finance
transaction (n.),ธุรกรรม,When the transaction is complete it will be at least two weeks before you receive your copy of the contract.,Finance
withdraw (v.),ถอน (เงิน),I’d like to withdraw £300 from my current account.,Finance
advertisement (n.),การโฆษณา,The organizers of the concert had taken out a full page advertisement in ‘The New York Times’.,Business
advertise (v.),ลงโฆษณา,Many companies will only advertise in the Sunday paper.,Business
advantageous (adj.),"มีประโยชน์, ให้คุณ",Many bus companies provide advantageous fare tickets especially for tourists.,Business
admittance (n.),"การอนุญาตให้เข้า,
การรับเข้า",He was refused admittance into the country.,Business
ability (n.),ความสามารถ,No one doubts his ability to get work done quickly.,Business
abroad (adv.),ในต่างประเทศ,A lot of goods are imported from abroad.,Business
aim (v.),มุ่งหวัง,We aim to finish by Friday.,Business
agency (n.),บริษัทตัวแทน,She works for an advertising agency.,Business
agenda (n.),ระเบียบวาระการประชุม,A copy of the agenda is circulated to delegates a month before the conference.,Business
agreement (n.),ข้อตกลง,I am hopeful that we can come to an agreement.,Business
agree (v.),ตกลง,I agree with her analysis of the situation.,Business
analyze (v.),วิเคราะห์,The first step is to define and analyse the problem.,Business
announcement (n.),การประกาศ,The announcement of further job losses comes at a bad time.,Business
annual (adj.),ประจำปี,She organized this year’s annual Christmas dinner dance.,Business
alternative (n.),ทางเลือก,His idea seemed to offer a possible alternative.,Business
allow (v.),อนุญาต,The law allowed companies to dismiss workers without any reason.,Business
ambitious (adj.),ทะเยอทะยาน,I am very ambitious. Nothing means more to me than winning.,Business
assess (v.),ประเมินผล,We are trying to assess how well the system works.,Business
assistant (n.),ผู้ช่วย,My assistant will now demonstrate the machine in action.,Business
association (n.),"องค์กร, สมาคม",It was to be a free association of equal partners.,Business
assign (v.),มอบหมาย,They’ve assigned their best man to the job.,Business
achievement (n.),ความสำเร็จ,This conference in itself constitutes a solid achievement.,Business
apology (n.),คำขอโทษ,She finally received an apology from the company.,Business
